               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.016417,           0.0084557,          0.00024846,             0.84575,              0.4539,              0.5317,             0.39898,             0.02597,              0.0166,           0.0080121,             0.00208,             0.00208,             0.00208
                  66,            0.016713,           0.0087342,          0.00022327,             0.73826,             0.46994,             0.52669,             0.40197,            0.025654,            0.016373,           0.0083346,           0.0019563,           0.0019563,           0.0019563
                  67,             0.01635,           0.0080254,           0.0004061,             0.83386,             0.46168,             0.53174,             0.40405,            0.025193,            0.016317,           0.0079134,           0.0018325,           0.0018325,           0.0018325
                  68,            0.016274,           0.0080839,          0.00040627,              0.8895,             0.45508,             0.52623,             0.39797,            0.025598,            0.016728,           0.0072113,           0.0017087,           0.0017087,           0.0017087
                  69,            0.015608,           0.0080211,          0.00029741,             0.80799,             0.45891,             0.53452,              0.4056,            0.025297,            0.016236,           0.0072567,            0.001585,            0.001585,            0.001585
                  70,            0.015434,           0.0084446,          0.00030482,              0.8637,             0.45514,             0.53149,             0.40779,            0.025162,            0.016507,           0.0078109,           0.0014612,           0.0014612,           0.0014612
                  71,            0.015202,           0.0079845,          0.00024485,             0.83936,             0.46442,             0.53319,             0.41141,            0.025258,            0.017018,           0.0080581,           0.0013375,           0.0013375,           0.0013375
                  72,            0.015245,           0.0081194,          0.00043225,             0.90531,             0.44931,             0.53856,              0.4195,             0.02542,            0.016791,            0.008126,           0.0012138,           0.0012138,           0.0012138
                  73,            0.014737,           0.0074173,          0.00033118,             0.92502,             0.44999,             0.53767,             0.41174,            0.025275,            0.015918,           0.0078749,             0.00109,             0.00109,             0.00109
                  74,            0.014703,           0.0075053,          0.00026847,             0.83461,             0.46074,             0.53908,             0.40808,             0.02513,            0.016192,           0.0076382,          0.00096625,          0.00096625,          0.00096625
                  75,            0.013802,           0.0075064,           0.0002478,             0.81861,             0.46694,             0.53537,             0.41028,            0.025554,            0.016445,            0.007786,           0.0008425,           0.0008425,           0.0008425
                  76,             0.01466,           0.0074778,          0.00019549,             0.85814,              0.4681,             0.53192,             0.41059,            0.025526,            0.016305,           0.0080645,          0.00071875,          0.00071875,          0.00071875
                  77,            0.013877,           0.0076864,          0.00032805,             0.82793,             0.45341,             0.52991,             0.40974,            0.025865,            0.016751,           0.0080041,            0.000595,            0.000595,            0.000595
                  78,            0.013737,           0.0071756,          0.00014442,               0.768,             0.47952,             0.52869,              0.4033,            0.025689,            0.016325,            0.007952,          0.00047125,          0.00047125,          0.00047125
                  79,            0.013721,           0.0072041,          0.00027661,             0.82666,             0.45891,             0.53224,             0.40826,              0.0258,            0.016536,           0.0079332,           0.0003475,           0.0003475,           0.0003475
